"DESCRIPTION"	"SKILL"	"SKILL_ACTIVE"
"REF. CUST. REQUEST : CARPET ON SEAT 62 A"	"WSSW"	"EA"
"POB at wall lav D expired on 30 sep 2020"	"CBN"	"EA"
"AFT CARGO FLOOR #1 HAS MULTIPLE DENTS"	"AP,STR"	"EA"
"AFT CARGO COMPARTMENT ANGLE PARTITION A"	"STR,WSPT"	"EA"
"BRAKE TEMP SENSOR RECEPTACLE-CONNECTOR N"	"EA"	"EA"
"EXT FUSELAGE SKIN BTW STA 1006-1016 STR"	"STR"	"EA"
"AFT CARGO ROLLER OF ROLLER TRAY BROKEN 72EA"	"AP"	"AP"
"COVER LAV OCCUPIED SIGN POST COCKPIT NOT"	"CBN"	"CBN"
"FWD CARGO DOOR PANEL SCREW STUCK 6EA"	"STR"	"STR"
"RESISTANCE OF ROSEMONT PITOT PROBE FIN 9"	"EA"	"EA"
"RH WING FUEL INDICATOR PANEL LATCH SPRIN"	"AP"	"EA"
"RH/LH LOWER HORSTAB PANEL NEED RESEALNT"	"STR"	"EA"
"NON-FDE FUEL SYSTEM EICAS INTERFACE MAIN"	"EA"	"EA"
"AFT CARGO DOOR JUNCTION BOX CONDUIT BAD"	"EA"	"EA"
"MS:PK-GPA FWD ENTRY DOOR DAMPER LO PRESS"	"CBN,NA"	"NA"
"LH HORIZ STAB UPPER SURFACE REQUIRES LOC"	"WSPT"	"WSPT"
"SCREW OF SLAT HAS BAD CONDITION"	"AP"	"AP"
"PFR MESSAGE AIR ENG 2 BLEED FAULT"	"AP,NA"	"AP"
"FWD FSELAGE NLG DOOR AREA PAINT PEEL OFF"	"WSPT"	"EA"
"LH HORSTAB STATIC DISCHARGE INSULATION I"	"EA"	"EA"
"FLAP TRACK FAIRING #1 AND #2 FWD FIX FAI"	"WSPT,WSSR"	"EA"
"ENG #1 LH T/R CDU LEAK"	"AP"	"AP"
"ENG#3 HYD LINE BLANKET BURN OUT"	"AP"	"AP"
"FLIGHT DECK ESCAPE HATCH EXCESSIVE WATER"	"CBN"	"CBN"
"ATTD SEAT SWIVEL, BOLT SEAT PAN WAS LOOS"	"WSSS"	"WSSS"
"ENG #2 ESN 12773 CASE DRAIN FILTER REMOVE FOR ENG SENT TO OEM"	"AP"	"AP"
"ENG #2 LH FAN COWL SKIN NEED PAINT REPAI"	"WSPT"	"WSPT"
"FWD CARGO FLOOR #1, #2, #3, AND #4 NEED TO BE REPLACED AS REDELIVERYREQUIREMENT"	"AP,NA,STR,WSPT"	"WSPT"
"TOILET SERVICE PANEL HINGE NEED CLEANING SUSPECT OF COROSSION"	"AP,STR"	"STR"
"POB MASK VALIDITY STICKER NOT VISIBLE POST: NO.1(1LH),NO.5(4RH),NO.7(4LH),COATROOM FWD LAV 53.QTY:4EA"	"CBN"	"CBN"
"#1 ENG O/B SIDE C-DUCT PLACARD ""CAUTION REMOVE PYLON FAIRING"" BROKEN"	"WSPT"	"WSPT"
"ENG #1 ESN V12771 ANTI ICE DUCT (PN:745-5153-503) REMOVE FOR ENG SENT TOOEM"	"AP"	"AP"
"AFT CARGO CEILING PANEL SCREWS BAD CONDI"	"AP"	"AP"
"PYLON #1 LOWER RUBBER SEAL TORN"	"AP"	"AP"
"PYLON #1 THERMOSTAT FOUND LEAK"	"AP"	"AP"
"WORK TOP TABLE GALLEY 4R & 4L DISBONDING"	"WSCB"	"WSCB"
"VALIDITY PLACARD PORTABLE OXYGEN BOTTLE"	"CBN"	"CBN"
"R/H AND L/H FWD POS LIGHT LENS WAS DIRTY"	"EA"	"EA"
"REF CML SEQ C52 PAX LIFE VEST POST 9BC 1"	"CBN"	"EA"
"LH WING LWR PNL 631AC RUBBER SEAL BROKEN LOC PYLON #1 O/B SIDE"	"AP"	"AP"
"AFT CARGO DOOR LOCK SPRING WAS MISSING 1EA"	"AP"	"AP"
"RADIO CONTROL PANEL OFFSET COVER LENS BR"	"EA"	"EA"
"Flight Control Hyd Power Tail ShutOff Va"	"EA"	"EA"
"LH BODY L/G W/W DOOR SLIDING BOARD HINGE"	"AP,WSST"	"EA"
"FOUND RH SECONDARY PLENUM PAINT PEEL OFF"	"EA,WSPT,WSSR"	"EA"
"LH WING VARIABLE CHAMBER #4 LIP SEAL TOR"	"WSST"	"WSST"
"1ST OBSERVER SEAT CUSHION & COVER NEED TO REPLACE DUE AGING"	"CBN"	"CBN"
"ALMOST ALL SIDEWALL LIGHT LENSES AS MARKED FOUND DISCOLORATION BECOME BROWNISH,NEED TO BE RECONDITIONED."	"CBN"	"CBN"
"LAV.D WATER FAUCET DRAIN CAP AND ITS FRAME FOUND WORN NEED TO RECONDITIONED"	"CBN,NA"	"CBN"
"ENG#1 RH T/R BLOCKED DOOR HINGE POST 3 O"	"AP"	"AP"
"ENG#1 RH T/R BLOCKED DOOR DRAG LINK POST"	"AP,WSST"	"AP"
"ENG #1 AFT STRUT FAIRING FOUND CRACK"	"STR"	"STR"
"TILT SENSOR LH REFUEL PANEL DOOR WAS BENDING"	"EA"	"EA"
"FLOOR PNL STA 460-480 LH DAMAGED"	"CBN,WSST"	"EA"
"LH ACM DOOR PLACARD (PN : BAC27DAC101)PEEL OFF"	"AP,WSPT"	"WSPT"
"LH WING FIX CANOE #4 PAINT EROSION"	"WSPT"	"WSPT"
"LH WING O/B AFT FLAP FWD SPINDLE BAERING"	"AP"	"EA"
"SCREW FLOOR PLATE ABOVE CANTED AREA BAD"	"CBN"	"CBN"
"REF ASDCS SEQ.82 AFT CARGO FLOOR NO.4 FO"	"AP,STR"	"AP"
"FWD CARGO - ALL LIST FLOOR PAINT PEEL OFF AND NEED REPAINT"	"STR,WSPT"	"WSPT"
"RUDDER TIP COVER HAS LIGHTNING STRIKE"	"WSPT,WSSR"	"WSPT"
"ENG#4 FAN CASE RUBSTRIP SCRATCH"	"AP"	"AP"
"LAMINATE INSIDE LAV D AT AISLE WALL UNMA"	"WSCB,WSCN"	"CBN"
"INBOARD GROUND SPOILER NO 7 MULTIPLE NICK"	"AP,WSSR"	"STR"
"TOILET SERVICE PANEL AREA CORRODED"	"STR,WSPT"	"STR"
"RH WING L/E FLAP PAINT PEEL OFF"	"WSPT"	"WSPT"
"ENGINE THRUST LEVER PAINT DISCOLORATION"	"WSPT"	"EA"
"AFT CARGO LH SIDEWALL PANEL 151DW DELAMINATION"	"AP,WSPT,WSSR"	"AP"
"AFT CARGO LH SIDEWALL PANEL 161CW EX REPAIR"	"AP,WSPT,WSSR"	"AP"
"AFT CARGO RH SIDEWALL PANEL 152CW EX-REPAIR"	"AP,WSPT,WSSR"	"AP"
"LH WING O/B FLAP LOWER SURFACE FOUND PAINT PEEL OFF"	"WSPT,WSST,WSWB"	"WSPT"
"196BB DOOR DECAL ELIGABLE"	"WSPT"	"WSPT"
"(LESSOR FINDING): FWD CARGO DOOR SCUFF PLATE FOUND TORN & DENT"	"AP,WSPT,WSSR,WSST"	"STR"
"(LESSOR FINDING): FORWARD ENTRY DOOR AFT LOWER CORNER EDGE ABOVE SCUFF PLATE NEED TO APPLY SEALANT"	"STR,WSPT"	"STR"
"LESSOR FINDING : IRS CONTROL PANEL, INDICATION WINDOW COVER BROKEN"	"EA"	"EA"
"LH WING MAIN TANK PANEL 532AB SEAL HAS TEAR"	"AP,STR"	"AP"
"BEZEL SMART MONITOR POS 25A,25J,26A,27C,"	"CBN"	"EA"
"RH PYLON 481 AL PANEL SCREW BROKEN 30EA"	"AP"	"AP"
"CREW SEAT COVER LOOSE"	"CBN,NA,WSSW"	"CBN"
"CARPET AISLE POSITION BAD CONDITION"	"WSSW"	"WSSW"
"SMART MONITOR SEAT 34H,38C,38H,39J,43J44"	"CBN"	"CBN"
"POB AFT LH EXPIRED 30 SEPT 2020"	"CBN"	"EA"
"L\H WING L\E PANEL PLATE NUT HAS BROKE 5"	"STR"	"EA"
"UPPER DECK SEAL DEPRESSOR SEAL CRACK AT"	"STR,WSNC"	"EA"
"ENG#1 LH FAN COWL POS 06.00 CLOCK FASTENER LOOSE"	"WSST"	"EA"
"FWD CARGO AT STA 500D STR 25-26L SIDE WALL SUPPORT STRUCTURE PLATENUTBROKEN."	"STR"	"STR"
"EXT FS SKIN BTW FR 28-29 STGR 37R-39R MULTIPLE NICK"	"STR,WSNC,WSPT"	"STR"
"FWD CARGO BULKHEAD PANEL SOME FASTENERS LOOSE"	"AP"	"AP"
"LIST TRIM FWD PARTITION RH AND LH NEED NEED MORE CLEAN"	"CBN,WSCB"	"CBN"
"COCKPIT SLIDING WINDOW COVER RH PAINT DISCOLORATION"	"CBN,WSCN,WSSS"	"CBN"
"FWD CARGO DOOR VERTICAL CLIP CRACK AT FW"	"Repair Eng/APU Laboratorium,STR,WSST"	"EA"
"RH WING O/B AILERON STATIC DISCHARGE BROKEN 1EA"	"EA"	"EA"
"COCKPIT CARPET WORN OUT"	"WSSW"	"WSSW"
"LUG BIN DOOR PEEL OFF POS. 8KH, 26AC, 33"	"WSCN"	"WSCN"
"AFT CARGO SIDEWALL PANEL LH NO #1 PUNCTURE"	"WSPT,WSSR"	"WSSR"
"CREW OXY BOTTLE LOW PRESS 1350PSI"	"CBN,NA"	"CBN"
"BULK CARGO FLOOR 161 BW HAS PUNCTURE IN"	"WSST"	"WSST"
"LH WING OUTBOARD FLAP UPLOCK ROLLER OVER"	"AP"	"AP"
"LH AFT FIX FAIRING ON RIB 15 UPPER SIDE"		
"ENG #1 I/B AND O/B T/R HINGE PANEL PLATE"		
"NEED MARKING ON MLG SHOCK STRUT LH $ RH"	"EA,WSPT"	"EA"
"CUP HOLDER FOR FIRST OBSERVER SEAT N/A"	"CBN"	"CBN"
"(CUSTOMER REQUEST) AFT CARGO BULK HEAD P"		
"COVER RIB O/B MAIN FLAP AT RH WING HAS G"	"WSPT,WSSR"	"WSPT"
"C76 B4 LESSOR FINDING: CLOSET C1L: C1L03"	"WSCB,WSSS"	"WSCB"
"C98 B4 LESSOR FINDING: 34KH RH OVERHEAD"	"WSCB,WSSS"	"WSCB"
"RH WING, INBOARD AILERON, INBOARD SEAL T"	"NA"	"NA"
"CABIN FLOOR NO #4A WAS DENT"	"CBN,WSSR"	"CBN"
"CABIN FLOOR NO #14A WAS DENT"	"CBN,WSSR"	"CBN"
"LEFT FAN COWL ENGINE #2 PRESSURE RELIEF"	"NA"	"EA"
"INBOARD SURFACE AT SLAT #7 HAS CHAFING"	"AP,WSNC,WSPT,WSSR"	"EA"
"RIGHT ENGINE INLET COWL FOUND CORROSION"	"NA,WSSR"	"EA"
"PAX SEAT TABLE 16E FOUND SCRATCH"	"WSSE"	"WSSE"
"PAX SEAT HYDROLOCK WEAK 3EA (17C, 1D, 4D"		
"EXT FUSELAGE SKIN STA 268.25 BTW STR 25R"	"AP,NA,STR,WSNC,WSPT"	"AP"
"RIGHT ENGINE OUTBOARD T/R BULLNOSE SEAL"	"WSSR"	"EA"
"KICKSTRIP BUMPER OF AFT LH AND RH ATTD S"	"AP,WSSS"	"AP"
"SCREEN FILTER DRAIN G4 UNPROPPER INSTALL"	"CBN"	"CBN"
"ELT WILL BE OVERDUE 29 SEP 2019"	"EA"	"EA"
"(CUSTOMER REQUEST) CREW OXYGEN PN.897940"		
"GALLEY 4 MIRROR SCRATCH"	"CBN,WSCB"	"EA"
"FINDING LESSOR- EXT FUSELAGE SKIN BTW BS 727I-727J STR 24LH-25LH GOUGED"	"STR,WSNC,WSPT"	"EA"
"EXT FUSELAGE SKIN AT BS 259.5, STR 14R S"	"STR,WSNC,WSPT"	"EA"
"EXT FUSELAGE SKIN AT BS 259.5, STR 16R-1"	"STR,WSNC,WSPT"	"EA"
"RECORD ATTACHMENT PIN OF FWD MOUNT ENGIN"	"AP"	"EA"
"VHF UPPER ANNTENA 1 NEED REPLACEMENT DUE"		
"EXTERNAL FUSELAGE SKIN LOWER SURFACE BTW STA 727E - 727F STR 27L - 27RCORROSION						"	"AP,STR,WSNC"	"AP"
"LH SIDEWALL #3 AFT CARGO WAS BROKEN"	"AP,STR"	"AP"
"NEED MATERIAL FOR CABIN FLOOR RESTORATION"	"CBN"	"CBN"
"DOOR LAVATORY AFT R/H AND L/H BIFOLD RUBBER SEAL TORN"	"CBN"	"CBN"
"TABEL GALLEY POST 407 LOOSE"	"CBN"	"CBN"
"PAX WINDOW SHADE CHAFFING"	"CBN,WSCB,WSSS"	"CBN"
"LH TAIL FUSELAGE BEHIND AFT ENTRY DOOR PAINT PEEL OFF (TOUCH UP)"	"WSPT"	"WSPT"
"FWD SVC ESCAPE SLIDE ASSY MISSING"	"CBN"	"CBN"
"AFT CARGO FLOOR # 2 HAS PUNCTURE"	"AP,STR,WSPT"	"AP"
"E/E COMPARTMENT VERY DIRTY"	"EA"	"EA"
"LH UPPER HORSTAB PAINT PEEL OFF"	"WSPT"	"WSPT"
"ENGINE#2 ESN 645632 TAKEN FOR SERVICE PK"	"AP"	"AP"
"THE FWD ENTRY DOOR HARD TO CLOSE"	"CBN"	"CBN"
"AFT CARGO SIDE FLOOR LH 6 LOWER PUNCTURE"	"AP,WSSR"	"AP"
"AFT CARGO FLOOR #7 HAS PUNCTURE"	"AP,WSSR"	"AP"
"AFT CARGO SIDEWALL LH 2 BROKEN"	"AP,WSPT,WSSR"	"AP"
"ENG#1 NOSE INLET COWL (PN:642-1000-505;"	"AP,NA"	"AP"
"PAD UPPER SIDE OF LH SLIDING WINDOW TAKEN FOR PK-CMN"	"CBN"	"CBN"
"BELLOWS RH PACK TAKEN FOR SERVICE PK-GLR"	"EA"	"EA"
"FLOOR MAT POST. FWD AREA BAD CONDITION"	"CBN,STR"	"CBN"
"EXT FUSELAGE SKIN AT STA 460, STR 22L-23"	"NA,STR,WSNC"	"NA"
"EXT FUSELAGE SKIN AT STA 500C, STR 22L-2"	"NA,STR,WSNC"	"NA"
"EXT FUSELAGE SKIN AT STA 1088 LH SIDE AR"	"STR,WSNC"	"STR"
"DOOR SINK CABINET LAV.D BROKEN"	"CBN,NA,WSCN,WSSS"	"CBN"
"LH WING LOWER SURFACE BTW WS 278.50 - 30"	"STR,WSNC"	"STR"
"DOOR SINK CABINET POST.LAV E BROKEN"	"CBN,NA,WSCN,WSSS"	"CBN"
"LH WING FWD FLAP FAIRING #4 SEAL HAS ERR"	"AP,STR"	"AP"
"REAR ARMCAP IAT PEEL OFF POST 2D"	"WSSE"	"WSSE"
"NLG MAIN DOOR,MECHANICAL CONTROL TUBE HA"	"AP"	"AP"
"BRAKE#4 WEAR INDICATION PIN HAS CLOSE TO"	"AP,NA"	"AP"
"LH WING SPOILER #6 LOWER SURFACE MULTIPL"	"WSNC,WSPT,WSSR"	"WSNC"
"BOTH NLG DOOR ""EDTO"" PAINT HAS PEEL OFF"	"WSPT"	"WSPT"
"RH WING SPOILER #9 LOWER SURFACE DENT"	"WSNC,WSSR"	"WSNC"
"LH WING I/B AFT FLAP I/B AND O/B SIDE HA"	"AP"	"AP"
"LH CONNECTION ACM PACKING HAS LEAK"	"EA"	"EA"
"KEEL BEAM LOWER CHORD BTW STA 540-560 ,S"	"STR"	"STR"
"RH HORSTAB FIXED TRAILING EDGE AT STAB S"	"WSSR"	"WSSR"
"LH ELEVATOR HINGE FITTING ARM SUPPORT HA"	"AP"	"AP"
"FWD AND AFT CARGO DOOR GLASS INDICATION"	"AP"	"EA"
"LH AND RH VERSTAB PAINT HAS PEEL OFF"	"WSPT"	"WSPT"
"SLEEVE RUBBER SEAL AT RH PLENUM BROKEN"	"EA"	"EA"
"BELLY FAIRING PANEL 193AB FOUND LIGHT COROSION"	"AP,WSST"	"AP"
"GALLEY SINK AT G6 FOUND STAIN"	"CBN,WSCB"	"CBN"
"REF AML SEQ 55 ENG#1 FAN BLADE NO 22 TAKEN FOR SERVICE PK-GQC"	"AP"	"AP"
"CABIN AREA SEAT TRACK FOUND LIGHT CORROSION AT BTW FR 44 - 47 AND STA.- 1959 3 SPOT"	"NA,STR,WSPT"	"WSPT"
"BLANKET AT CROSSBLEED AREA FOUND TEAR OFF"	"EA"	"EA"
"DUCT CRACK BETWEEN FR. 73 AND 74 WASTE TANK COMPT. RH SIDE"	"EA,WSST"	"EA"
"ENG #1 RIVET LOOSE NEAR AREA AFT PRECOOLER ANGLE"	"STR"	"STR"
"PANEL TOILET SEATER (TISSUE PANEL) CRACK POST L62"	"CBN,WSCB,WSSS"	"CBN"
"LOWER TRIM MIRROR AT WALL LAVATORY DISBONDED POST L61"	"CBN"	"CBN"
"HANDRAIL UPPER COATROOM LH & 3 - 5 ABC PEEL OFF"	"WSSS"	"WSSS"
"REF AML SEQ 58 ENG#1 FAN BLADE NO 25 TAKEN FOR SERVICE PK-GQC"	"AP"	"AP"
"LH WING CONDUIT 7645VB CHAFING"	"EA"	"EA"
"FWD CARGO TUBING WATER LINE C37.1LH ,CLAMP NOT INSTALL"	"CBN"	"CBN"
"ENG #2 CNA INNER SIDE FOUND HEAVY CORROSION POST 11 O'CLOCK"	"WSNC,WSST"	"WSST"
"LH WING TANK PANEL CLAMP RING 532 MB HAS CORROSION"	"STR,WSNC"	"STR"
"BILGE DRAIN HAVE BROKEN 10EA"	"AP"	"STR"
"RH WING TANK PANEL CLAMP RING 631AB HAS CORROSION"	"STR,WSNC"	"STR"
"ALL INSIDE GALLEY 4 FOUND PAINT PEEL OFF"	"WSCB,WSSS"	"WSCB"
"HEATED FLOOR 221GF FOUND SMALL DENT"	"CBN"	"CBN"
"FAIRING PASSENGER SEAT POST6C,7C,25K,27K,29K,30K,32K,37K,40C,42C,43C,46C CRACKAND PEEL OFF"	"CBN,WSSE"	"CBN"
"ASSIST HANDLE AT LAV A DISCOLOURATION"	"CBN,WSCB,WSSS"	"WSSS"
"RH INNER WINDOW NO.3 GOUGE AND SCRATCHED"	"CBN,EA,STR,WSCB"	"CBN"
"LAMINATE OF WALL BEHIND GALLEY 4 FOUND PEEL OFF"	"WSCB"	"EA"
"FUSELAGE SKIN HAS FASTENER CORROSION AT FRAME 40 LOWERSIDE"	"STR"	"STR"
"CUSTOMER REQUEST: REMOVE MULTI MODE RECEIVER(MMR)-ILS P/N TLS755-01-0102A S/N4678434A-03840 AS SERVICEABLE CONDITION"	"EA"	"EA"
"LH WING HINGED L/E EROSION"	"WSPT,WSSR"	"WSSR"
"FLOOR PANEL 212KF FOUND CRACK"	"CBN,WSPT,WSST"	"WSST"
"RH HEAT EXCHANGER SECONDARY PLENUM DAMAGE"	"WSPT,WSSR"	"WSSR"
"LH WING INB AFT FLAP HYREX OF ACCORDION WEAR (ERROTION)"	"AP,NA,WSST"	"AP"
"LH WING OVERHANG UPPER SURFACE BTW RIB 23-25 CORRODED"	"STR,WSNC,WSPT"	"STR"
"ALL HEADREST COVER OF FWD ATTD SEAT INK"	"WSSW"	"WSSW"
"SCREW AT AFT CABIN TEMPERATURE SENSOR CO"	"EA"	"EA"
"FOUND PANEL 131FF FWD CARGO PUNCTURE"	"AP,WSPT,WSSR"	"AP"
"AFT CARGO LH PROFILE CORNER BTW FR 48-FR"	"NA,STR,WSPT"	"NA"
"COCKPIT WINDOW 5 LH FOUND INTERLAYER CRACKS"	"CBN,STR"	"EA"
"WINDOW SHADE SLIDING WINDOW LH BROKEN"	"CBN"	"CBN"
"LH AFT SIDE COCKPIT FRAME NEED PAINT TOU"	"WSSS"	"WSSS"
"BOTTOM COVER OF COPILOT SEAT WAS EROTION"	"WSSS"	"WSSS"
"SWAP SERVO FUEL HEATER FROM ENG #1 A4O-B"	"AP"	"AP"
"ENG#2 FAN BLADE ERODED"	"Repair Eng/APU Bench Inspect.,Repair Eng/APU Miscellaneous Repair,WSNC"	"Repair Eng/APU Bench Inspect."
"LANYARD LH MLG DOOR ACCESS PANEL BROKEN"	"AP"	"AP"
"EE COMPARTMENT DOOR BONDING LEAD TEAR OF"	"EA"	"EA"
"BONDING BROKEN AT LH ELEVATOR FITTING #6"	"EA"	"EA"
"FWD CEILING LIGHT HORSESHOE PANEL LAMP TL 1EA MISSING"	"CBN"	"EA"
"LH FUSELAGE FR 76 - 78 STR 38 - 45 SKIN LIGHT CORROSION"	"NA,STR,WSNC,WSPT"	"NA"
"LH BODY FAIRING PANEL PAINT PEEL OFF"	"WSPT"	"EA"
"FOUND GASKET AND SEAL RING PANEL 540FB"	"AP"	"AP"
"RH MLG SLIDING PISTON AND BOOGIE BEAM PA"	"WSPT"	"WSPT"
"ENGINE #2 FAN COWL PAINT PEEL OFF"	"WSPT"	"EA"
"PYLON#1 PANEL PRECOOLER CRACK AT SEVERAL"	"AP,WSST"	"AP"
"NAME PLATE OF ATTD SEAT WERE UNREADABLE POS FWD&AFT LH"	"WSSS"	"EA"
"C46 B1 REAR WALL PAINT DISCOLORATION AND"	"NA,WSSS"	"NA"
"C80 B1 ALL DOOR CABINET PAINT DISCOLORAT"	"CBN,WSCB,WSSS"	"CBN"
"C04 B2 SEATBELT C-CLASS SEAT WAS FRYING"	"CBN"	"CBN"
"C05 B2 WALL INSIDE UPPER LAMINATE BAD CO"	"WSCB"	"WSCB"
"AFT CARGO LOWER SIDE WALL 152FW PUNCTURE"	"WSPT,WSST"	"WSPT"
"C31 B2 LAMINATE COATROOM C1R06, C1R07 TE"	"WSCB"	"WSCB"
"ENG#1 O/B T/R HALVE AFT LOWER SIDE, NEAR"	"WSPT,WSSR"	"EA"
"C62 B2 ""LATCH LUGBIN DIRTY"	"CBN,WSSS"	"CBN"
"CENTER L/G WELL FR 53.1 - 53.2 Y0 - Y450"	"STR"	"STR"
"C23 B3 COVER SCREW CAMERA AT DOOR 1 NOT"	"CBN"	"CBN"
"RH WING R/S UPPER SURFACE RIB 3 - 7 36"	"STR,WSPT,WSST"	"STR"
"FWD CARGO SIDEWALL PANEL WASHER P/N ABS0208-1 MISSING 200 EA"	"AP"	"AP"
"MARKER BEACON ANTENNA LOWER FUSELAGE ERR"	"EA"	"EA"
"BONDING JUMPER AT LH SPOILER #5 BROKEN 1"	"EA"	"EA"
"REF. AML SEQ 49 FOAM PEDESTAL PANEL LH S"		
"AFT CARGO DOOR LINING AFT SIDE CRACK"	"WSPT,WSST"	"WSPT"
"RUBBER SEAL DOOR FRAME LAV D AND E TORN"	"CBN"	"CBN"
"EXTERNAL FUSELAGE SKIN BTW STA 727H-727I"	"STR,WSNC"	"STR"
"LH H/E PRIMARY DIFFUSER STOPPER DEEP CUT"	"EA,WSSR"	"EA"
"PANEL COCKPIT 211LC WAS PAINT PEEL OFF."	"CBN,WSCB,WSSS"	"CBN"
"LH LINING COCKPIT PANEL HAS BROKEN"	"AP,WSCN,WSSR"	"AP"
"APU INLET DOOR BRACKET HAS CORROSION"	"AP,STR"	"AP"
"LATCH OF DOOR WASTE COMPARTMENT POS. GAL"	"CBN"	"CBN"
"LH WING OUTBOARD FLAP TRAILING EDGE FILL"	"WSPT,WSST"	"WSPT"
"CAPT.NAV. CONTROL PANEL ROBBING PK-CMRP/N G7500-03-99837S/N 3487"	"AP,EA"	
"C19 B4 EDGE TRIM STOWAGE MONITOR MISSING"	"WSSS"	"WSSS"
"RECEPTACLE AT P5 FWD OVERHEAD PANEL LH F"	"STR"	"STR"
"LH WING SPOILER #4 & #5,2EA BONDING CABL"	"EA"	"EA"
"RH SIDE MLG DOOR AFT FITTING CHAFING"	"AP,NA,STR,WSNC"	"AP"
"ENG #2 PYLON PANEL 462 BL SCREW AND WASHER BROKEN 40 EA"	"AP"	"AP"
"STRAINER DRAIN PLUG AND PIN-DOWEL WASH B"	"CBN"	"CBN"
"AFT CARGO COMP ROLLER TRACK NUT P/N: NAS"	"AP"	"AP"
"RH CARGO FIREX BOTTLE ROBBING PK-CRFP/N 473957-4S/N 4108K"	"AP"	"EA"
"LH ENGINE SPINNER CONE PAINT PEEL OFF"	"AP,Repair Eng/APU Chemical Cleaning,Repair Eng/APU Material Painting"	"AP"
"ENG #2 O/B THRUST REVERSER MIDLE ACTUATO"	"AP"	"AP"
"AFT CARGO DOOR GLASS SIGHT FOUND BLUR"		
"RH WING FIX CANOE#8 HAS PAINT PEEL OFF"	"WSPT"	"WSPT"
"WINDOW 3 LH SCRATCH ON THE INSIDE"	"CBN,STR,WSCB"	"CBN"
"NEED CLEANING FOR WINDOW HEAT CONTROL (L"	"EA"	"EA"
"NEED CLEANING FOR APU START POWER UNIT"	"EA"	"EA"
"LIFEVEST BOX ASSY POS 46 LH TAKEN FOR SE"	"WSSE"	"WSSE"
"FWD CARGO CEILING SHROUD RH NO.4 HAS DAM"	"AP,WSPT,WSSR"	"AP"
"LAV D/E CAP FOR SCREW ATTACHMENT SMALL A"	"CBN"	"CBN"
"NEED RETHREAD ONE BOLT HOLE AT FRONT ENG"	"Repair Eng/APU Miscellaneous Repair"	"Repair Eng/APU Miscellaneous Repair"
"G#1 OVEN TRAY NOT COMPLETE 1 EA"	"CBN"	"CBN"
"LH HORSTAB LEADING EDGE BTW LE STA 198.2"	"AP,STR,WSNC,WSSR"	"AP"
"LH WING FIXED T/E UPPER SURFACE PAINT PE"	"WSPT"	"WSPT"
"G#4 SOME SCREW OF DOOR HINGE COMPT NOT C"	"CBN"	"CBN"
"RH ELEVATOR SURFACE FREEPLAY CHECK OUT O"	"AP,WSST"	"AP"
"FWD CARGO COMPARTMENT RH SIDEPLATE BTW S"	"STR"	"STR"
"[SAJ FINDING] ENG#1 INBOARD OIL PANEL NO PLACARD"	"WSPT"	"WSPT"
"[SAJ FINDING] ENG#2 RH COWL HOIST POINT PROTRUDED"	"AP"	"AP"
"[SAJ FINDING] ENG#2 INLET COWLING REAR FRAME BUTTOM SIDE BOTH NAMEPLATE ILLEGIBLE"	"WSPT,WSST"	"AP"
"[ SAJ FINDING ] FOUND POSSIBLE GOUGE ON LH FUSELAGE SKIN BTW FR61 - FR64"	"STR,WSPT"	"STR"
"ENG STRUT #2 AFT FAIRING LH BAY DOOR HINGE #1 FROM FWD OVER PLAY"	"NA"	"NA"
"ENG #1 FAN COWL LATCH COLOR POOR CONDITION"	"WSPT"	"WSPT"
"LH ELEVATOR STATIC DISCHARGE FOUND 1EA S"	"EA"	"EA"
"GALLEY #7 SEAL NOT PROPER INSTALL"	"AP,CBN"	"AP"
"RH FITTING HORSTAB TRIMTANK WAS LEAK"	"AP,EA,NA,STR,WSPT"	"AP"
"RESEALANT ALL COCKPIT WINDOW"	"STR"	"STR"
"OVEN NO.1 AT GALLEY 5 WAS FAILED WHEN OPERATIONAL CHECK"	"CBN"	"CBN"
"SAFETY WALK OF UPPER DECK LADDER WAS ERRODED"	"CBN"	"CBN"
"COVER FWD ATTD SEAT FOUND TORN"	"CBN,WSSW"	"CBN"
"PLACARD LAVATORY COVER AT LAV A FOUND MISSING"	"CBN,WSPT"	"CBN"
"APU EGT TRIM MODULE CIRCUIT FAULT MSG. 49034"	"EA"	"EA"
"MD CARGO FLOOR BEAM OUTHER AND INNER SURFACE CORROSION AT STA 840 LBL 57.50"	"AP,STR,WSNC"	"STR"
"HYD-4 SYSTEM FAULT LIGHT CIRCUIT FAIL (HYDIM 4) MSG. 29159"	"EA"	"EA"
"APU SN.3726 TAKEN FOR SERVICE VT-IGW D/T CUSTOMER REQUEST"	"AP"	"AP"
"AFT CARGO PDU MOTOR INOP STA.1920-1980 LH SIDE"	"EA"	"EA"
"LH HOSTAB TIP LEADING EDGE ROUGH"	"WSNC,WSPT,WSSR"	"WSSR"
"BONDING BROKEN AT LH AND RH ACM AREA 10 EA"	"EA"	"EA"
"RH BLG W/W BLOCK CLAMP CORROSION"	"AP,STR,WSST"	"STR"
"RH WING REAR SPAR L-BRACKET CRACK"	"STR"	"STR"
"RH WING REAR SPAR WEB WS 740 FASTENER LOOSE 2EA"	"STR"	"STR"
"LH WING O/B FLAP T/E LOWER SURFACE RIB 26 - 27 DENT"	"WSNC,WSPT,WSST"	"STR"
