"DESCRIPTION","SKILL","SKILL_ACTIVE","TARGET"
"RH WING OUTER RING SEAL ON TANK PANEL 640 FB HAS BROKEN","AP","AP","0"
"RH WING OUTER RING SEAL ON TANK PANEL 640 QB HAS BROKEN","AP","AP","0"
"SUPPORT ROD INTERMEDIATE AIR DUCT OVERPLAY ENG 3","AP,NA","EA","1"
"FWD CARGO NET SIDEWALL LINING LOCK CLIP DAMAGE STA 920 - 980","AP,WSSW","AP","0"
"#3 ENG RH FAN COWL L/EDGE EROSION STRIPS LOOSE.","AP,WSPT,WSST","AP","0"
"THE MDC FLOOR DAMAGE POST STA.1220-1260 2LH","CBN,WSST","CBN","2"
"THE MDC FLOOR DAMAGE POST STA.1220-1260 1RH","CBN,WSST","CBN","2"
"NOSE GEAR LOWER TORQUE LINK NICK","AP,WSNC,WSPT,WSST,WSWB","AP","0"
"[REFF OIL-213] WATER SVC SCREW CORRODED","CBN","CBN","2"
"ENG #1 I/B T/R BLOCKER DOOR DRAG LINK CORRODED","WSNC,WSST","EA","1"
"BEZEL OF LUGGAGE BIN DOOR LATCHES ARE DISCOLORED (4EA)","WSSS","WSSS","5"
"AFT CARGO BALLMAT PANEL 152DG CORROSION",,,"9"
"FUSELAGE SKIN STA 352.2-360 STR 19R-20R",,,"9"
"BEZEL AT SEAT 34A BROKEN REF HIL 87",,,"9"
"REF ADD 1972427 SPRING CLIP TABLE OF CAP",,,"9"
"REF ADD 1137676 SEAT COVER DISPENSER BOX",,,"9"
"BACKSHEEL CONECTOR N2 ENG # 1 HAS LOOSE 2 EA",,,"9"
"RH ACM DOOR BONDING STRAP HAS TEAR",,,"9"
"FWD CARGO ROLLER TRACK NO.12 FOUND COROS",,,"9"
"LH ENGINE FWD STRUT FAIRING HAS PLATE NUT BROKEN",,,"9"
"MANUAL EXTENSION L/G DOORS ""PRESS HERE"" PLACART PEEL OFF AT COCKPIT FLOOR",,,"9"
"REF ADD 1554112: BACKSHELL KIT SEAT POS.",,,"9"
"REF ADD 1704412: BACKREST COVER SEAT POS. 31F, 32F, 33F, 34F, 46C WERE DELAMINATED",,,"9"
"LH WING O/B FLAP LOWER SURFACE FOUND DENT AT FLAP TRACK #4","WSNC,WSPT,WSST","WSNC","7"
"SIDEWALL PANEL 151 DW PUNCTURE",,,"9"
"CABIN AREA RH SIDE GALLEY MOUNTING (FITTING) CORROSION AT FR76",,,"9"
"C60 B3 SCREW AND WASHER COVER MECHANICAL DOOR COCKPIT NOT ORIGINAL EACH 3EA","CBN","CBN","2"
"FWD BELLY FAIRING PANEL 192DZ FWD SIDE E","WSPT,WSST","WSPT","4"
"LH AFT FIX FAIRING PLATE ASSY O/B AND I/","AP","AP","0"
"C54 B3 FOURTH OCCUPANT SEAT PAINT PEEL O","CBN,WSSS","CBN","2"
"RH LOWER WING SKIN PAINT PEEL OFF","WSPT","WSPT","4"
"PYLON #1 PANEL 452 CR PLAT NUT BROKEN 5 EA","AP,STR","AP","0"
"SEAT BELT OF 1ST OBSERVER SEAT WAS DIRTY","WSLS,WSSS","EA","1"
"NAME PLATE OF ATTD SEAT WERE UNREADABLE POS FWD&AFT LH","WSSS","EA","1"
"C46 B1 REAR WALL PAINT DISCOLORATION AND","NA,WSSS","NA","8"
"FWD CARGO ROLLER TRACK NO # 6 CORROSION","AP,NA,STR","AP","0"
"C08 B2 SCREW HINGE DOOR GALLEY NOT INSTA","CBN","CBN","2"
"ENG#1 O/B T/R HALVE CONNECTION OF FAN CO","WSSR","EA","1"
"C44 B2 PELMET COVER GALLEY G2A NOT PROPE","CBN,WSCB,WSSS","CBN","2"
"C52 B2 BULB SEAL FILLER CEILING GALLEY N","CBN","CBN","2"
"C80 B2 SNUBBER SEAT 4TH OCCUPANT WAS WEA","CBN","CBN","2"
"C05 B3 CAP SCREW SUPPORT ARM NOT INSTALL AT DOOR 4LH (1EA)","CBN","CBN","2"
"COCKPIT SLIDING WINDOW COVER LH NEED TOU","WSCN","WSCN","9"
"FWD BELLY FAIRING SUPPORT FR 39 Y0 - Y95","STR","STR","3"
"LOWER FUSELAGE FR 25 - 26 STR 54L - 54R","STR,WSPT","STR","3"
"PLENUM CHAMBER AT ACM #2 WAS DAMAGE","EA","EA","1"
"REF CML SEQ C87 AFT RH LAV BIFOLD DOOR S","CBN","CBN","2"
"REF CML SEQ C90 FOOTREST CABLE SEAT 6H,","WSSE","WSSE","9"
"BATTERY LINE CONTACTOR 6PB1 HAS TAKEN FO","AP,EA","EA","1"
"AFT CARGO LH LOWER SIDE FLOOR NO#1 HAS PUNCHER","AP,WSSR","EA","1"
"LH WING L/E PANEL SOME AREA PAINT PEEL O","WSPT","WSPT","4"
"LATCH DOOR WASTE SERVICE PANEL CORROSSION (2EA)","CBN,STR","CBN","2"
"FLOOR LAV. FC 1 BROKEN AND BUSHING NOT I","CBN,WSST","CBN","2"
"LH WING LET L/E EROSION","WSPT,WSSR","EA","1"
"INNER GALLEY 6 PAINT PEEL OFF","WSSS","WSSS","5"
"CABIN PRESS PWR & SPLY CONTROL PANEL TAK","EA","EA","1"
"LAMINATE DOOR LAVATORY L61 SCRATCH OUTBO","WSCB","WSCB","9"
"RH WING FIX TRAILING EDGE UPPER SURFACE","STR,WSNC","STR","3"
"STRUT #4 AFT BULKHEAD RH SIDE I/B VERTIC","STR","STR","3"
"MICROPHONE-HAND (2RM) PN: 85-16-11494-05","CBN","CBN","2"
"BONDING LEAD LH FLAP TRACK FAIRING #2 HAS BROKEN 2 EA","AP,EA","AP","0"
"BONDING LEAD LH FLAP TRACK FAIRING #4 HAS BROKEN 2 EA","AP,EA","AP","0"
"MLG BRAKE NO 3 FOUND HEAT SHIELD BROKEN","AP","AP","0"
"PSU CONNECTOR FIN 4LVA WAS BROKE","EA","EA","1"
"FWD UTILITY PANEL PAINT PEEL OFF NEAR TH","CBN,WSCN,WSSS","WSSS","5"
"LH ENG I/B FAN COWL AT EXTERNAL SURFACE","WSPT","WSPT","4"
"LH ENG O/B T/R FIREWALL HAS PUNCTURE","AP,WSSR","WSST","9"
"RH WING L/E SLAT #1 DENT BTW TRACK 1 AND","WSNC,WSPT,WSSR","WSSR","9"
"RH PLENUM CHAMBER MUFFLE BROKEN","EA","AP","0"
"LIFE VEST BAG POS DOOR 1 LH AFT TEAR OFF","CBN","CBN","2"
"R2 BLANKING PLATE ON THE FLOOR PAINT ABR","CBN,WSPT,WSSR","CBN","2"
"SEAL SPANWISE AT KRUEGER #2 HAS TEAR (IN","AP","AP","0"
"HALLON FIREXT NO VALIDITY STICKER POSITI","CBN","CBN","2"
"ALL CREW LIFEVEST NO VALIDITY STICKER POSITION CAPTAIN, F/O, 1st OBS., 2nd OBS.QTY:4EA. (PN:63600-501).","CBN","CBN","2"
"LESSOR FINDING - MOST OF FWD GALLEY PLACARDS AND DECALS ARE DAMAGE, ALL DAMAGE UNITS TO BE REPLACED WITH NEW ONE","CBN,WSPT","CBN","2"
"BONDING CABLE AT FLAP TRACK NO. 3 BROKEN 1 EA","AP","AP","0"
"LESSOR FINDING - LAV A BOTH HOLDER ASSY PAINT PEELED OFF AND 1 EA PAPER ROLL TISSUE BROKEN","CBN,WSCB,WSCN,WSSE,WSSS","WSCN","9"
"LESSOR FINDING - LAV A FLOOR PAN NTF FLOOR MAT AND SEALANT DETERIORATED","CBN","CBN","2"
"CENTER TANK SEALANT HAS PEEL OFF","STR","STR","3"
"EXT FUSELAGE SKIN UNDER DORSAL FIN BTW FR.69-FR.70 STGR 1R-2R AT RING DOUBLER CORROSION","AP,STR","STR","3"
"(CUSTOMER REQUEST) REMOVE BLUE HYD ACCUMULATOR P/N SB209L1A1-1484 S/N104421 AS SERVICEABLE CONDITION","AP","STR","3"
"AFT CARGO DOOR ACTUATOR CONNECTORS (2505MJ AND 2506MJ) HAS CORROSION","EA","EA","1"
"LESSOR FINDING - AFT GALLEY (G5) NTF AREA MOST OF BULGING CONDITION, PLEASE EVALUATED DURING REMOVED NTF FOR COROSION CHECK","CBN","CBN","2"
"4TH OCCUPANT SEAT CUPHOLDER BROKEN","CBN","CBN","2"
"LESSOR FINDING: FO HARNESS SHEATH FOUND TORN","CBN,WSSS","CBN","2"
"LESSOR FINDING - AFT GALLEY (G5) WASTE COMPT WASTE FLAPPER LETTERING IS DEPAINTED","WSCB,WSCN","WSCN","9"
"ENG#1 ACCESS PANEL NEAR VBV PANEL POS 7","STR","EA","1"
"LESSOR FINDING: FWD CARGO DOOR ACTUATOR 2502MJ FOUND CONNECTOR CORROSION, PLEASECHECK","EA","AP","0"
"ENG#1 O/B T/R FITTING V-GROOVE HAS CHAFFING","WSNC,WSST","WSST","9"
"ENG#1 I/B T/R RING CASCADE FASTENER HOLE ELONGATED","WSNC,WSPT,WSST","WSST","9"
"ENG#1 O/B T/R SLEEVE ALL BLOCKER PAD HAS NICK","WSPT,WSST","WSST","9"
"LH WING SCAN PAINT NOT MATCH WITH NEW LIVERY","WSPT","WSPT","4"
"LH FAN COWL ENGINE NO 2 OUTER SKIN EROSION AND INNER SKIN CHAFFEDSEVERAL AREA","WSPT,WSSR","WSSR","9"
"EXTERNAL FUSELAGE LOWER SKIN AT STA 887 STR 27L-24R CORRODED","STR,WSNC,WSPT","STR","3"
"RH FAN COWL ENGINE NO 2 GEARBOX BREATHER DEFORMED (ITEM NO15)","NA","WSPT","4"
"ENG#1 LH FAN COWL INNER SKIN HAS GOUGE","WSPT,WSSR","WSSR","9"
"ENG #2 EDP PRESS HOSE HAS NOT COMPLETE",,,"9"
"C34 B4 ALL ARMCAP DISCOLORATION C/CLASS","WSSE,WSSS","WSSE","9"
"C37 B4 SEAT RUBSTRIP ARMREST BROKEN C/CL","WSSS","WSSS","5"
"C44 B4 SEAT SNAKE LIGHT WAS LOOSE C/CLAS","WSSS","WSSS","5"
"ELBOW DUCT ASSY AT E/E COMPARTMENT TAKEN","EA","EA","1"
"R/H WING SLATS HOIST POINT COVER NOT INS","AP","AP","0"
"FWD CARGO FLOOR CLIP NUT P/N EN6131 BROK","AP","AP","0"
"AFT CARGO DOOR CORROSION","NA,STR","NA","8"
"LH RED NAV LIGHT NOT ILL 1EA (REF.HIL: A","AP,EA","AP","0"
"BOLT CORROSION 2EA OF BAY UNDER AFT CARG","AP","AP","0"
"PYLON #2 GREEN ENG PUMP DELIVERY CHK VLV","AP","AP","0"
"SIDE WALL POST 29K LAMINATE SCRATCH","CBN,WSCB","CBN","2"
"ENG#2 PRE-COOLER DUCT I/B SIDE UPPER AND","WSST","WSST","9"
"CARGO SIDEWALL STUD-08 FOUND 20 EA NOT I","AP","AP","0"
"FIX WINDOW LH INDICATION BUBBLE NEED MEA","CBN","CBN","2"
"SEAL FRAME ATTD SEAT 2RH SMALL BROKEN","WSSS","WSSS","5"
"RH MLG DOOR OUTER SKIN HAS PERFORATION","WSPT,WSST","WSPT","4"
"FWD CARGO E-COMPT FLOOR PANEL 121GF EDGE","AP,WSPT,WSST","AP","0"
"ARMREST LOOSE POST 24C,26D","WSSE","EA","1"
"FWD CARGO FLOOR PANEL 131KG NEED TO BE P","WSPT","WSPT","4"
"COVER RUBSTRIP SIDE LH LOWER ATTD SEAT 1","WSSS","WSSS","5"
"BLOCK RETAINER GALLEY 6 HEAVY CORROSION","WSCB","WSCB","9"
"RH WING AILERON PANEL 675 DB NAMEPLATE N","AP","AP","0"
"RH FUSELAGE FR 55 - 56 STR 41 - 43 SKIN","NA,STR,WSNC,WSPT","NA","8"
"FWD CARGO STA PLACARD MISSING 2 EA","WSPT","EA","1"
"PAX DOOR 4RH CUTOUT BRACKET BEND","STR","STR","3"
"[FINDING LESSOR] REPLACEMENT OF LAV LIGHT LENSES WITH NEW (ASREQUIRED/DAMAGE AND DISCOLORATION)","CBN","EA","1"
"RH WING SPOILER #3 PAINT PEEL OFF","WSPT","WSPT","4"
"FILLER ATTD AFT RH CRACK","WSSS","EA","1"
"BOTTOM COVER ATTD SWIVLE DISCOLORATION","WSSS","EA","1"
"LH ELEVATOR HINGE #1 BONDING TEAR-OFF","EA","EA","1"
"RH PYLON PANEL 485 CL SEAL BROKEN","AP","AP","0"
"AFT CARGO FLOOR TIE DOWN PLATE FR 60 HAS","STR,WSNC,WSPT","EA","1"
"FIRST AID KIT POSITION 3LH WILL BE EXPIR","CBN","CBN","2"
"COFFEE MAKER POST GALLEY 4R13 WAS CORROSSION","CBN","CBN","2"
"AFT PRIMARY PLUG SCREW BROKEN 5 EA","AP","AP","0"
"APU OIL COOLER HAS DIRTY","AP,NA","AP","0"
"DURING ENGINE GROUND RUN FOUND ENGINE N","AP","AP","0"
"FOUND DENT OBSERVED ON RH #5 SLAT OB OF TRACK 10","WSSR","W305","9"
"FOUND A DENT OBSERVED ON ENGINE # 02 I/B FAN COWL OUTER SKIN. LOCATED: 12"" FROMTRAILING EDGE, 24"" FROM BOTTOM EDGE. AT ZONE C. DIMENSIONS: DIAMETER: 1"" , DEPTH","WSPT,WSSR","W305","9"
"FOUND NICK ON ENG 1 CNA AFF OUTER RING AT 7 O'CLOCK POSITION ALF (actualdamagat 6 o'clock)","WSSR","W304","9"
"BONDING BROKEN 2EA AT RUDDER HINGE","EA","EA","1"
"AFT CABIN COMPARTMENT PLATE FLOOR FR 68","STR,WSPT","STR","3"
"EXT F/L AT AVIONIC DOOR FR 12-13 STGR 29","STR,WSNC,WSPT","STR","3"
"LH SPOILER EXCESSIVE PLAY NO# 2 OUT OFF LIMIT 1.768 MM","AP,WSST","AP","0"
"NOSE L/G DOWNLINE FUSE PLACARD HAS TORN","AP","AP","0"
"ENG #2 PRECOOLER PANEL FOUND DENT","AP,WSNC,WSST","AP","0"
"FWD CARGO BALLMAT PANEL NEED REPAINT","WSPT","WSPT","4"
"AFT FUSELAGE LAV. PANEL PAINT PEEL OFF","WSPT","WSPT","4"
"CBMU DATABASE INCOMPLETE UPLOADED WITH C","EA","EA","1"
"LH PYLON THERMOSTAT CTL VALVE FOUND LEAK","AP","AP","0"
"ENG #2 RH T/R WIRE MESH PEEL OFF","WSST","WSST","9"
"RAIL TRACK CORROSION AT Y-403","CBN,STR,WSNC,WSPT","CBN","2"
"LH WING AILERON PANEL 575BB NEED RESEALA","AP","AP","0"
"THE INDICATOR LAMP ""ON"" FOR AIR CHILLER","CBN","CBN","2"
"DRAIN MAST LOWER FUSELAGE FR 55-56 NOT H","WSPT","WSPT","4"
"REF DENT BUCKLE CHART SPOILER 2 UPPER SU","AP,WSPT,WSST","AP","0"
"EXTERNAL FUSELAGE SKIN BTW STA 480-500 STR 10L LIGHTNING STRIKE ONFASTENER","NA,STR,WSNC,WSPT","EA","1"
"FIRE LOOP CABLE CHAFFING 2 EA AT UPPER L","EA,NA","EA","1"
"DURING REMOVAL ACCESS TRACK 1 FOUND DOOR","WSST","WSST","9"
"RH WING UPPER SURFACE FIX T/E STRIP SEAL","AP,STR","AP","0"
"RH BODY GEAR O/B STRUT DOOR HINGE OVER P","AP,WSST,WSWB","AP","0"
"SCURITY SEAL FOR ALL PBE BROKEN QTY: 8EA","CBN","CBN","2"
"LESSOR FINDING - NLG TIRE HUBS CAPS NEED PAINTING","WSPT","AP","0"
"LESSOR FINDING - MLG TIRE PRESSURE PLACARDS NUMBER ADJUSTED BY HANDWRITING TO 210 PSI","WSPT","AP","0"
"LESSOR FINDING - MOISTURE BARRIER PROTECTION UNDER THE AFT GALLEY IS DAMAGED ANDTHE AREA IS VERY DIRTY.","CBN","CBN","2"
"LESSOR FINDING - THE SIDEWALL AREA UNDERNEATH THE SIDEWALL AND DADOPANEL IS CONTAMINATED WITH DUST,LESSOR FINDING ITEM 13","CBN","CBN","2"
"ENG#2 REAR FLAP AIR COOLED OIL COOLER HA","AP","EA","1"
"AFT CABIN COMPARTMENT FLOOR STRUCTURE AT Y- 254 FR 64-65 CORRODED","STR,WSNC,WSPT","STR","3"
"ATSU (1TX1) CLASS 1 SOURCE SATCOM BITE T","EA","EA","1"
"RLY POWER SPLIT (22CB) CLASS 1 228300","EA,NA","EA","1"
"RH WING FIX CANOE NO #8 SEALANT BROKEN","STR","EA","1"
"REFF D AND B CHART SEQ NO.3DENTS ON LH AND RH INBOARD FLAP LOWER SURFACE","WSNC,WSPT,WSSR","WSSR","9"
"HORSTAB AREA ACCESS PANEL NEED RE-SEALAN","AP","AP","0"
"REFF D AND B CHART SEQ NO.30 DENT ON LOWER FUSELAGE BTWFR 69-70 STR 42LH - 43RH","STR,WSNC,WSPT","STR","3"
"SOME OF SOUNDPROOFING FOUND TEAR OFF","WSCN","WSCN","9"
"OBSERVED LIGHTNING STRIKE ON FASTENER AT FR 48 STGR 4RH NEEDRE-EVALUATION (REFDB #243)","NA,STR,WSNC,WSPT","STR","3"
"LH WING RUBBER SEAL NEAR I/B AILERON MISSING","AP","AP","0"
"ENG#4 RH INNER FAN COWL PAINT HAS PEEL OFF","WSPT","WSPT","4"
"BOTTOM OF CAPTAIN SEAT CUSHION IS BAD CONDITION","CBN","CBN","2"
"SERVICE LIGHT AT APU COMPARTMENT NOT ILL 2 EA","EA","EA","1"
"MD SIDE CARGO DOOR MIDSPAN LATCH PIN WAS DAMAGE AT STA 1780LH","AP","AP","0"
"AFT CARGO CENTER SCUFFPLATE SCREWS HAVE CORROSION","AP,WSSR","AP","0"
"ALL PAX SEAT COVER POST U/D DIRTY","CBN,WSLS","CBN","2"
"MD CARGO FLOOR PUNCTURE 5 LOCATION AT STA 1740-1860 CTR","WSST","CBN","2"
"CEILING PANEL STA 720-820RH PUNCTURE","CBN,WSPT,WSST","CBN","2"
"ENG #1 LH CORE COWL INNER SIDE NEED REPAINT","WSPT","WSPT","4"
"AFT CARGO DOOR AFT UPPER SEAL DEPRESSORS TORN AND DEFORMED","STR","STR","3"
"ENG #1 RH FAN COWL CORNER PLATE FOUND CRACK","WSSR","WSSR","9"
"HYDRAULIC COMPARTMENT LIGHT 11LL2 NOT ILLUMINATE","EA","EA","1"
"TRIM DOOR GALLEY 629 INSIDE NOT PROPER INSTALL","CBN","CBN","2"
"REF CML SEQ C33 SIDEWALL LIGHT ASSY TAKEN FOR PK-GFW POS 33HJK","CBN","CBN","2"
"HALON FIRE EXT WILL BE EXP SOON, QTY: 1EA POST: 3LH","CBN","CBN","2"
"ENG#1 LH FAN COWL HINGE NO.2 HOLE AHS ALONGATED (ITEM 24)","WSSR","WSSR","9"
"ENG#1 LH FAN COWL HINGE NO.2 SPRING PIN HAS BEND (ITEM 25)","WSSR","WSSR","9"
"WATER FIRE EXT WILL BE EXP SOON, QTY: 1EA POST: 3RH","CBN","CBN","2"
"ENG#1 LH FAN COWL EXTERNAL SKIN MARKING HAS PAINT PEEL OFF","WSPT","WSPT","4"
"CLAMP OF HARNESSES BROKEN","EA","EA","1"
"GA AND LESSOR REQUEST PERFORM REMOVAL LIFERAFT P/N : 64356-101, S/N : M8431, POST. CABIN LR3","CBN","CBN","2"
"BONDING RH MLG FOLDING DOOR BROKEN","AP","AP","0"
"AFT CARGO PDU BELT TEAR-OFF STA.1620-1660 LH SIDE","AP","AP","0"
"BRACKET SUPPORT AND SHOCK MOUNT FOR INSTALLATION TRIM ON M/D SIDEWALL LHSIDE STA 1780 BROKEN","STR","STR","3"
"FWD CARGO INSULATION BLANKET STA 980-1000 BROKEN 1EA","AP,WSCN","AP","0"
"PYLON #3 NEED COLLAR PN: BACC30BL6 30EA, REMOVED ACCESS FOR REMOVE PYLON","STR","STR","3"
"WINDOW 3 LH FOUND SCRATCH","CBN,EA,STR,WSCB","CBN","2"
"FWD CARGO FLOOR #4 HAS MULTIPLE DENT","AP,STR","AP","0"
"FWD CARGO DOME NUT CORROSION AT STA 750 STR 37 RH","STR","STR","3"
"AML SEQ 26:LH LENS COVER GLASS POSITION LIGHT TAKEN FOR PK-GFJ","AP,EA,STR","AP","0"
"REF AML SEQ 77 FUEL JUNCTION BOX TAKEN FOR PK-GAK","EA","EA","1"
"ENG 4 LH CORE COWL SUPPORT ROD BRACKET BROKEN","STR","STR","3"
"AML SEQ 29:ALTERNATE PITOT PROBE REMOVE FOR SPARE PN:5232N911-6SN:391924","EA","EA","1"
"SLIDING WINDOW RH SIDE TAKEN FOR PK-GNN","CBN,EA","CBN","2"
"ENG#3 LH CORE COWL INNER FACE ABRASION","AP,WSST","AP","0"
"ENG 4 LH TR BLOCKER DOOR HINGE OVERPLAY POS 07.00 OCLOCK","AP","AP","0"
"RH WLG WIRE BUNDLE CONDUIT BRIDE DAMAGED NEXT TO TRUCK POSITION ACTUATORCONDUIT","EA","EA","1"
"REF. AML SEQ 52 APU STARTER GEN TAKEN FOR PK-GMY","AP","AP","0"
"LH MLG DOOR LOWER-AFT STOP BRACKET NO #3 CHAFFED","NA,STR,WSNC,WSPT","WSPT","4"
"LH MLG DOOR RUBBER SEAL TORN","AP","AP","0"
"AML SEQ 27:ENG #1 PNEUMATIC FLEX HOSE TO 450 F TAKEN FOR SUPPORT PK-GFR","AP","AP","0"
"LH NAV LIGHT LENS COVER HAS DIRTY","EA","EA","1"
"RH WING AILERON CONTROL TAB FAIRING HAS ERRODED","WSPT,WSSR","AP","0"
"ENG 2 FOHE MOUNTING OVERPLAY AT BRACKET PN FK10129, BRACKET FK10140, BRACKET FK11164, PLATE PN FK19924 CHAFING, AND LINK PN FK19265 AND FK19266 CHAFING","AP,NA","AP","0"
"LH HORSTAB LEADING EDGE TIP FOUND PAINT PEEL OFF","WSPT","WSPT","4"
"PLATE NUT BROKE AT SCUFFPLATE ON DOOR 3 RH QTY : 1 EA","STR","STR","3"
"MLG WHEEL WELL AREA AT FR.26 UPPER SIDE BRACKET CORROSION","STR,WSPT","STR","3"
"ENTRY DOOR RH SIDE COVER TEAR OFF","CBN,WSCN","CBN","2"
"NUMEROUS LAVATORY PLACARD FOUND BROKE","CBN,WSPT","CBN","2"
"CAPT PAPER CLIP PAINT HAS PEEL OFF","WSPT","WSPT","4"
"SOME OF COCKPIT KNOP PAINT PEEL OFF","WSPT","WSPT","4"
"RH PACK CONDENSER TAKEN FOR SUPPORT PK-GFS P/N : 2340404-1, S/N : 6313","EA","EA","1"
"ANGLE ""U"" DOOR L11 LIGHT CORROSION","CBN","CBN","2"
"FWD CARGO NET RH AFT SIDE HAS TEAR","AP,WSSW","AP","0"
"FWD CARGO NET LH AFT SIDE LATCH FOUND BROKEN","AP,WSSW","AP","0"
"FWD CARGO CENTER SCUFF PLATE FOUND MULTIPLE DENT","AP,NDT,Repair Eng/APU Welding,WSPT,WSSR","AP","0"
"BULK CARGO FLOOR 161 FF PUNCTURE","AP,WSPT,WSST","WSPT","4"
"LOWER FUSELAGE FOUND SKIN CORROSION AT BTW FR 80 AND BTWSTRG 38-40 LH","NA,STR,WSNC,WSPT","WSNC","7"
"DOOR LOCK LAV. E BROKEN","CBN","CBN","2"
"BUMPER SEATER SHROUD LAV. D MISSING 5EA","CBN","CBN","2"
"LOWER BED REST COVER DIRTY AND HAVE ONE HOLE","CBN","CBN","2"
"WALL COCKPIT DISCOLOURATION POS COCKPIT","CBN","CBN","2"
"NEAR AFT JACK POINT CORRODED","STR,WSNC,WSPT","WSNC","7"
"RH HORSTAB UPPER SURFACE PAINT PEEL OFF BTW STAB STA 44.38-129.50","WSPT","WSPT","4"
"CAPT SEAT ARMREST RH SIDE COVER BROKEN","CBN","CBN","2"
"CAPT RH FOOTREST BUFFER FOUND WEAK","CBN","CBN","2"
"AML 72 APU FUEL PRESS SWITCH TAKEN FOR SERVICE PK-GLI PN:FRH100014A SN:Q07111544","AP","AP","0"
"AML 06 ACM DUCT BLANKING CLAMP TAKEN FOR SERVICE PK-GLI PN:212002205 SN:NSN","EA","EA","1"
"L/H WING NAVIGATION LIGHT COVER FOUND BLUR","AP,EA","AP","0"
"PLACARD ""LOCAL CONTROL PANEL 17 L"" IS PEEL OFF STA 1660 LH","CBN,WSPT","CBN","2"
"FAK POS AFT LH PARTITION EXP","CBN","CBN","2"
"ASSIST HANDLE AT FWD LAVATORY PAINT BAD CONDITION","CBN,WSCN,WSSS","WSCN","9"
"REMOVE LOWER TCAS ANTENA FOR ACCESS REPAIR","EA","EA","1"
"FLOOR M/D AREA STA 1600-1680 BUSHING BROKEN AND CORROSION","CBN,WSST","CBN","2"
"COMPLETED SPARE BULB AT COCKPIT","EA","EA","1"
"DURING DEACT IFE PROCCESS FOUND BOTH OVERHEAD MONITOR CANT RETRACK","CBN","AP","0"
"REF CML C50 FAK PN:S6-01-0005-306 SN:GMF762 TAKEN FOR SUPPORT PK-GQS","CBN","CBN","2"
"GREEN HP MANIFOLD SIGN OF LEAK","AP","AP","0"
"LH ENG T/R SKIN PAINT DISCOLORATION","WSPT","WSPT","4"
"RH WING LEADING EDGE TO FRONT SPAR BTW WS 512.00 - 537.50 UPPER FRONT SPAR WEB CORRODED","STR,WSNC,WSSR","STR","3"
"PADDING SLIDING WINDOW LH POST FWD WAS BROKEN","CBN","CBN","2"
"REF HIL CML SEQ C79 JUMP SEAT D2R SEAT BOTTOM COVER TEAR OFF","CBN","CBN","2"
"GALLEY #2 SOCKET/FITTING TUBE LAMP WORKLIGHT BROKEN 2EA","CBN","CBN","2"
"RH SIDE PLENUM CHAMBER 10HM5 FOUND DELAMINATION","EA,WSSR","EA","1"
"RH L/E HORSTAB 331CB MULTIPLE DENT","WSSR","WSSR","9"
"MAIN WHEEL NO #2 DEEP CUT","AP","AP","0"
"APU FUEL FILTER AT FMU WAS CLOGGED","AP","AP","0"
"FWD CARGO CEILING SHROUD #3 FOUND TEAR","AP,WSPT,WSSR","AP","0"
"BONDING LEADS AT LH MLG DOOR HAS TEAR 2EA","EA","EA","1"
"FOUND DAMAGED OUTER SHROUDS ON C CLASS SEATS, 2EA POSITION 6AC AND 7AC(P/N 48438313T0308FM)","CBN,WSSE","CBN","2"
"REF CML SEQ C51 FILTER WASHBASIN POS LAV E PN:7600763 TAKEN FOR SUPPORT PK-GLY","CBN","CBN","2"
"EXT FUSELAGE SKIN AROUND LH WING SCANING LIGHT BTW 727F-727G STR 21L-22LCORRODED","STR,WSNC,WSPT","STR","3"
"AFTER CHECK FLOW BLINKER AT CREW MASK REGULATOR NOT BECOME BLACK","CBN","EA","1"
"LH HORSTAB ALL L.E PANEL NEED RESEALANT","STR","STR","3"
"WALL OF U/D ACCESS DOOR PAINT PEEL OFF","WSSS","EA","1"
"EXT FUSELAGE SKIN AT FR.43 STGR 2R-3R LIGHTNING STRIKE AT ADJACENT FASTENER","STR,WSNC,WSPT","STR","3"
"FWD CREW DOOR CUT OUT FWD SIDE UPPER CORNER SKIN CHAFED","STR,WSNC,WSPT","STR","3"
"AFT CARGO COMPARTMENT SILL WEEB PLATE NU","STR","STR","3"
"LG WING UPPER SURFACE FILLET FAIRING PAINT PEEL OFF","WSPT","WSPT","4"
"LH WING INB FLAP OUTB FIX TE SUPPORT ROD OVERPLAY","AP","AP","0"
"RH WING FIX T/E WEB FASTENER LOOSE 2 EA","STR","STR","3"
"AIR CONDITIONING PANEL 191EL ANGLE HINGE NOT PROPER INSTALL 2EA POST FWDAND CENTER","AP","AP","0"
"LESSOR FINDING: ALL EXTERNAL ACCESS DOORS AND PANELS TO HAVE COMPLETE,UNDAMAGED ANDPROPERLY ADHERED SEALS ON DOORS/PANELS EDGES","AP","AP","0"
"ATTD SWIVEL LAPBELT RESTRAINT SYSTEM FRAYING","WSSS","EA","1"
"RH WING T/E BETWEEN WS 586.62 & WS 614.50 CLIP CRACK","STR","STR","3"
"LESSOR FINDING: FWD CARGO NET FRAYING, DIRTY AND CONTAMINATION","AP","AP","0"
"R/H WING INBOARD FLAPS, MOVABLE FAIRING #6, FIXED DRIVE LINK RETAINER OVERPLAY","AP,WSST,WSWB","AP","0"
